PersonID,ProductName,Amount
1,Lapte Mega,4
1,Telemea Mega,2
1,Ciocolata Milka,3
1,Magura,1
1,Muschi File,2
1,Rosii Cherry,4
1,Cheddar Cheese,1
1,Mere Golden,3
1,Grisine cu Susan,2
2,Paine Graham,5
2,Boromir Covrigi,3
2,Ulei UntDeLemn,2
2,Cartofi Albi Gusturi,6
2,Sos de rosii Gusturi,3
2,Lapte Napolact,4
2,Mix Legume Congelate,3
2,Orez Bob Lung,2
2,Banane Premium,1
3,Pizza Salam,2
3,Cocorico pui,1
3,Banane Premium,5
3,Frosta Pui Mexican,2
3,Lapte Olympus,3
3,Red Bull,1
3,Portocale Valencia,2
3,Prajituri Boromir,2
4,Lapte Mega,1
4,Ciocolata Milka,4
4,Pizza Salam,3
4,Pufuleti Gusturi,2
4,Vin Jidvei,1
4,Mere Golden,5
4,Cartofi Prajiti,3
4,Pepsi Zero,2
5,Ulei UntDeLemn,3
5,Paine Graham,2
5,Magura,5
5,Cipsuri Pringles,2
5,Bere Peroni,1
5,Apa AQUA,4
5,Lapte Olympus,3
5,Beyond Vegetal,1
6,Telemea Mega,5
6,Lapte Napolact,3
6,Mozarella Mega,4
6,Beyond Vegetal,1
6,Edenia Snitel de Pui,2
6,Faina 365,4
6,Cheddar Cheese,3
6,Supa La Plic,2
6,Mix Legume Congelate,3
7,Faina 365,3
7,Cartofi Prajiti,4
7,Apa AQUA,6
7,AB Suc Portocale,2
7,Red Bull,1
7,Paine Alba,3
7,Grisine cu Susan,4
8,Lapte Olympus,4
8,Salam Sibiu Mega,2
8,Muschi Tiganesc Mega,3
8,Ciocolata Milka,2
8,Cheddar Cheese,1
8,Portocale Valencia,3
8,Pufuleti Gusturi,2
8,Orez Bob Lung,3
9,Cartofi Albi Gusturi,5
9,Rosii Cherry,3
9,Banane Premium,6
9,Lapte Napolact,2
9,Boromir Covrigi,4
9,Smantana Lichida,2
9,Pepsi Zero,1
9,Supa La Plic,3
10,Scutece,1
10,Absorbante,2
10,Servetele Umede,3
10,Lapte Mega,2
10,Paine Alba,4
10,Cartofi Prajiti,5
10,Mix Legume Congelate,2
10,Grisine cu Susan,3
11,Ciocolata Milka,3
11,Bere Peroni,2
11,Vin Jidvei,1
11,Red Bull,4
11,Cartofi Prajiti,5
11,Cipsuri Pringles,3
11,Pufuleti Gusturi,6
11,Cocorico pui,2
11,Prajituri Boromir,4
